name	semantic_type	wavelength_unit	value_unit	normalization	source_citation	source_license	asset_generation_script_version	sha256	storage
cie-x	color_matching_function	nm	relative_response	CIE 1931 2-degree observer, 1 nm samples	pbrt-v4 8c19f304558fd7681e2fef2c395a689d0106fb05 src/pbrt/util/spectrum.cpp	Apache-2.0	pr4-spectral-assets-v1	40a200b7d366e91b3bb267fa07d4009c22dbcd15ed021c338bdfbb2743a73195	dense_1nm
cie-y	color_matching_function	nm	relative_response	CIE 1931 2-degree observer, integral 106.856895	pbrt-v4 8c19f304558fd7681e2fef2c395a689d0106fb05 src/pbrt/util/spectrum.cpp	Apache-2.0	pr4-spectral-assets-v1	48144e4ec9e1b1e48cfd65d70997a7a7531b8102a876b84933c708a6461e7629	dense_1nm
cie-z	color_matching_function	nm	relative_response	CIE 1931 2-degree observer, 1 nm samples	pbrt-v4 8c19f304558fd7681e2fef2c395a689d0106fb05 src/pbrt/util/spectrum.cpp	Apache-2.0	pr4-spectral-assets-v1	da294f30b37d9582fac3502f1291b6f6c245fd457a9261e073f30af42c170f1b	dense_1nm
stdillum-A	illuminant	nm	relative_spd	pbrt luminance normalization to CIE_Y_integral=106.856895	pbrt-v4 8c19f304558fd7681e2fef2c395a689d0106fb05 src/pbrt/util/spectrum.cpp	Apache-2.0	pr4-spectral-assets-v1	fcb68267ecb522bdf3e6bccff87562c0fce5a86040ef19e3c835faebc427650a	piecewise_linear
stdillum-D50	illuminant	nm	relative_spd	pbrt luminance normalization to CIE_Y_integral=106.856895	pbrt-v4 8c19f304558fd7681e2fef2c395a689d0106fb05 src/pbrt/util/spectrum.cpp	Apache-2.0	pr4-spectral-assets-v1	56d8bb4b64c45939843c9c23cd902fae4c5ae7a127105b5df6958595455a3542	piecewise_linear
illum-acesD60	illuminant	nm	relative_spd	pbrt luminance normalization to CIE_Y_integral=106.856895	pbrt-v4 8c19f304558fd7681e2fef2c395a689d0106fb05 src/pbrt/util/spectrum.cpp	Apache-2.0	pr4-spectral-assets-v1	57d485564e6728048ea3b71fbf7eb8d906d324710289ea7ca3f75750621e7286	piecewise_linear
stdillum-D65	illuminant	nm	relative_spd	pbrt luminance normalization to CIE_Y_integral=106.856895	pbrt-v4 8c19f304558fd7681e2fef2c395a689d0106fb05 src/pbrt/util/spectrum.cpp	Apache-2.0	pr4-spectral-assets-v1	93e98526d9a821907b4dfb8563f46a6e8007542505b631caeddff4cd7010e5e8	piecewise_linear
stdillum-F1	illuminant	nm	relative_spd	pbrt luminance normalization to CIE_Y_integral=106.856895	pbrt-v4 8c19f304558fd7681e2fef2c395a689d0106fb05 src/pbrt/util/spectrum.cpp	Apache-2.0	pr4-spectral-assets-v1	8980bf75c85bf3febecb44cc92a75d8f31e747f3982c5abb067550a3a557d78d	piecewise_linear
stdillum-F2	illuminant	nm	relative_spd	pbrt luminance normalization to CIE_Y_integral=106.856895	pbrt-v4 8c19f304558fd7681e2fef2c395a689d0106fb05 src/pbrt/util/spectrum.cpp	Apache-2.0	pr4-spectral-assets-v1	7670edcd8b664b9a4effc503ecf7f31f7c384d5e8c7342e8d3dfbc6537deb911	piecewise_linear
stdillum-F3	illuminant	nm	relative_spd	pbrt luminance normalization to CIE_Y_integral=106.856895	pbrt-v4 8c19f304558fd7681e2fef2c395a689d0106fb05 src/pbrt/util/spectrum.cpp	Apache-2.0	pr4-spectral-assets-v1	91b2bd1d4980a6a095f9f55bea35aec6ce8967ef6ea45ff3f31acea9868a51a7	piecewise_linear
